Pos|Team|Driver|Time|Lap|Points|Race_ID|Year
1|McLaren|Norris|2.13|22|25|14|2023
2|Ferrari|Leclerc|2.32|20|18|14|2023
3|Red Bull|Perez|2.35|21|15|14|2023
4|AlphaTauri|Lawson|2.51|33|12|14|2023
5|AlphaTauri|Lawson|2.53|13||14|2023
6|Red Bull|Verstappen|2.54|20|10|14|2023
7|Alfa Romeo|Zhou|2.63|11|8|14|2023
8|Mercedes|Russell|2.66|19|6|14|2023
9|Alpine|Ocon|2.69|24|4|14|2023
10|McLaren|Piastri|2.77|23|2|14|2023
11|Mercedes|Hamilton|2.83|27|1|14|2023
12|Haas|Magnussen|2.98|12||14|2023
13|Alfa Romeo|Bottas|3.01|25||14|2023
14|Williams|Albon|3.05|15||14|2023
15|Alpine|Gasly|3.05|31||14|2023
16|Haas|Hulkenberg|3.17|39||14|2023
17|Aston Martin|Alonso|3.18|21||14|2023
18|Haas|Magnussen|3.18|33||14|2023
19|Williams|Sargeant|3.24|14||14|2023
20|Ferrari|Sainz|3.35|19||14|2023
21|Aston Martin|Stroll|3.96|20||14|2023
22|Alfa Romeo|Zhou|4.15|33||14|2023
23|Haas|Hulkenberg|4.48|14||14|2023
24|Alpine|Gasly|5.98|10||14|2023
25|McLaren|Piastri|10.21|41||14|2023
1|Red Bull|Verstappen|2.01|61|25|13|2023
2|Red Bull|Verstappen|2.21|49||13|2023
3|McLaren|Piastri|2.27|15|18|13|2023
4|McLaren|Norris|2.27|42|15|13|2023
5|Alpine|Ocon|2.43|10|12|13|2023
6|AlphaTauri|Lawson|2.43|59|10|13|2023
7|McLaren|Piastri|2.43|46||13|2023
8|Aston Martin|Stroll|2.46|4|8|13|2023
9|Red Bull|Perez|2.46|45|6|13|2023
10|Alpine|Ocon|2.48|43||13|2023
11|AlphaTauri|Lawson|2.51|46||13|2023
12|Red Bull|Verstappen|2.55|11||13|2023
13|AlphaTauri|Lawson|2.55|17||13|2023
14|Alpine|Gasly|2.58|11|4|13|2023
15|AlphaTauri|Tsunoda|2.59|10|2|13|2023
16|Alfa Romeo|Bottas|2.69|59|1|13|2023
17|Red Bull|Perez|2.69|12||13|2023
18|Alpine|Gasly|2.69|60||13|2023
19|Aston Martin|Stroll|2.71|16||13|2023
20|Ferrari|Sainz|2.71|2||13|2023
21|Alfa Romeo|Zhou|2.82|10||13|2023
22|Red Bull|Verstappen|2.83|63||13|2023
23|McLaren|Norris|2.84|3||13|2023
24|Aston Martin|Alonso|2.88|2||13|2023
25|Mercedes|Hamilton|2.89|3||13|2023
26|Mercedes|Russell|2.90|16||13|2023
27|Red Bull|Perez|2.91|1||13|2023
28|Ferrari|Sainz|2.92|10||13|2023
29|Alfa Romeo|Zhou|2.93|1||13|2023
30|Aston Martin|Alonso|2.98|10||13|2023
31|Ferrari|Sainz|2.99|41||13|2023
32|Red Bull|Verstappen|3.02|2||13|2023
33|Ferrari|Sainz|3.03|60||13|2023
34|AlphaTauri|Tsunoda|3.05|60||13|2023
35|Aston Martin|Alonso|3.05|61||13|2023
36|Mercedes|Russell|3.09|10||13|2023
37|Aston Martin|Stroll|3.10|34||13|2023
38|McLaren|Norris|3.12|60||13|2023
39|Mercedes|Hamilton|3.14|9||13|2023
40|Mercedes|Hamilton|3.14|45||13|2023
41|McLaren|Piastri|3.15|60||13|2023
42|Williams|Albon|3.17|44||13|2023
43|Aston Martin|Stroll|3.21|9||13|2023
44|Red Bull|Perez|3.27|63||13|2023
45|Mercedes|Russell|3.34|60||13|2023
46|Haas|Magnussen|3.35|9||13|2023
47|Alfa Romeo|Bottas|3.35|16||13|2023
48|Haas|Hulkenberg|3.35|48||13|2023
49|McLaren|Norris|3.37|10||13|2023
50|Alfa Romeo|Bottas|3.46|47||13|2023
51|Alfa Romeo|Zhou|3.61|37||13|2023
52|Aston Martin|Stroll|3.68|60||13|2023
53|Alfa Romeo|Zhou|3.78|60||13|2023
54|Mercedes|Russell|3.80|4||13|2023
55|Mercedes|Russell|3.80|67||13|2023
56|Haas|Hulkenberg|3.82|16||13|2023
57|Haas|Magnussen|3.82|35||13|2023
58|Williams|Albon|3.94|61||13|2023
59|Mercedes|Hamilton|3.96|60||13|2023
60|Alpine|Ocon|4.07|61||13|2023
61|Alpine|Ocon|4.09|2||13|2023
62|Haas|Magnussen|4.83|60||13|2023
63|Haas|Hulkenberg|5.10|60||13|2023
64|Aston Martin|Alonso|8.39|48||13|2023
65|AlphaTauri|Lawson|9.00|1||13|2023
66|Ferrari|Leclerc|10.24|11||13|2023
67|Alpine|Gasly|10.61|1||13|2023
68|Haas|Magnussen|10.74|1||13|2023
69|Red Bull|Perez|10.92|60||13|2023
70|Ferrari|Leclerc|13.58|1||13|2023
71|AlphaTauri|Tsunoda|14.66|1||13|2023
1|Ferrari|Leclerc|2.19|13|25|12|2023
2|Red Bull|Perez|2.24|29|18|12|2023
3|AlphaTauri|Tsunoda|2.29|9|15|12|2023
4|AlphaTauri|Ricciardo|2.35|5|12|12|2023
5|Red Bull|Verstappen|2.38|30|10|12|2023
6|Aston Martin|Alonso|2.42|10|8|12|2023
7|Alpine|Ocon|2.45|6|6|12|2023
8|AlphaTauri|Tsunoda|2.49|24||12|2023
