ID,Season,Race,Overtakes,TV,Percentage
1,1984,Brazil,61,14,22.95
2,1984,South Africa,83,15,18.07
3,1984,Belgium,50,14,28.0
4,1984,San Marino,53,5,9.43
5,1984,France,54,15,27.78
6,1984,Monaco,22,5,22.73
7,1984,Canada,57,5,8.77
8,1984,Detroit,41,3,7.32
9,1984,Dallas,45,6,13.33
10,1984,Great Britain,16,0,0.0
11,1984,Germany,50,1,2.0
12,1984,Austria,44,2,4.55
13,1984,Netherlands,50,6,12.0
14,1984,Italy,51,9,17.65
15,1984,Europe,44,4,9.09
16,1984,Portugal,60,9,15.0
17,1984,Season,781,113,14.47
18,1985,Brazil,63,2,3.17
19,1985,Portugal,59,3,5.08
20,1985,San Marino,49,8,16.33
21,1985,Monaco,22,7,31.82
22,1985,Canada,48,5,10.42
23,1985,Detroit,46,3,6.52
24,1985,France,47,3,6.38
25,1985,Great Britain,52,12,23.08
26,1985,Germany,31,5,16.13
27,1985,Austria,32,1,3.13
28,1985,Netherlands,62,12,19.35
29,1985,Italy,40,9,22.5
30,1985,Belgium,65,6,9.23
31,1985,Europe,64,11,17.19
32,1985,South Africa,15,9,60.0
33,1985,Australia,47,6,12.77
34,1985,Season,742,102,13.75
35,1986,Brazil,53,9,16.98
36,1986,Spain,22,7,31.82
37,1986,San Marino,34,6,17.65
38,1986,Monaco,21,7,33.33
39,1986,Belgium,33,5,15.15
40,1986,Canada,34,13,38.24
41,1986,Detroit,59,12,20.34
42,1986,France,35,11,31.43
43,1986,Great Britain,23,3,13.04
44,1986,Germany,65,6,9.23
45,1986,Hungary,51,5,9.8
46,1986,Austria,15,1,6.67
47,1986,Italy,58,11,18.97
48,1986,Portugal,29,2,6.9
49,1986,Mexico,62,6,9.68
50,1986,Australia,64,3,4.69
51,1986,Season,658,107,16.26
52,1987,Brazil,48,13,27.08
53,1987,San Marino,52,11,21.15
54,1987,Belgium,19,5,26.32
55,1987,Monaco,16,1,6.25
56,1987,Detroit,43,3,6.98
57,1987,France,44,4,9.09
58,1987,Great Britain,22,4,18.18
59,1987,Germany,31,6,19.35
60,1987,Hungary,29,3,10.34
61,1987,Austria,72,9,12.5
62,1987,Italy,27,6,22.22
63,1987,Portugal,24,5,20.83
64,1987,Spain,42,12,28.57
65,1987,Mexico,24,5,20.83
66,1987,Japan,45,6,13.33
67,1987,Australia,54,4,7.41
68,1987,Season,592,97,16.39
69,1988,Brazil,46,9,19.57
70,1988,San Marino,41,14,34.15
71,1988,Monaco,11,0,0.0
72,1988,Mexico,35,3,8.57
73,1988,Canada,22,5,22.73
74,1988,USA,36,8,22.22
75,1988,France,36,10,27.78
76,1988,Great Britain,40,10,25.0
77,1988,Germany,29,4,13.79
78,1988,Hungary,27,10,37.04
79,1988,Belgium,30,5,16.67
80,1988,Italy,32,7,21.88
81,1988,Portugal,19,3,15.79
82,1988,Spain,30,10,33.33
83,1988,Japan,62,4,6.45
84,1988,Australia,35,6,17.14
85,1988,Season,531,108,20.34
86,1989,Brazil,31,7,22.58
87,1989,San Marino,5,0,0.0
88,1989,Monaco,20,4,20.0
89,1989,Mexico,47,5,10.64
90,1989,USA,28,5,17.86
91,1989,Canada,58,11,18.97
92,1989,France,38,5,13.16
93,1989,Great Britain,40,5,12.5
94,1989,Germany,27,4,14.81
95,1989,Hungary,35,9,25.71
96,1989,Belgium,20,0,0.0
97,1989,Italy,28,9,32.14
98,1989,Portugal,71,10,14.08
99,1989,Spain,29,7,24.14
100,1989,Japan,44,4,9.09
101,1989,Australia,46,3,6.52
102,1989,Season,567,88,15.52
103,1990,USA,44,8,18.18
104,1990,Brazil,42,4,9.52
105,1990,San Marino,33,4,12.12
106,1990,Monaco,11,7,63.64
107,1990,Canada,60,19,31.67
108,1990,Mexico,73,15,20.55
109,1990,France,36,6,16.67
110,1990,Great Britain,49,11,22.45
111,1990,Germany,20,2,10.0
112,1990,Hungary,39,8,20.51
113,1990,Belgium,31,6,19.35
114,1990,Italy,17,4,23.53
115,1990,Portugal,31,5,16.13
116,1990,Spain,18,1,5.56
117,1990,Japan,11,1,9.09
118,1990,Australia,29,8,27.59
119,1990,Season,544,109,20.04
120,1991,USA,27,7,25.93
121,1991,Brazil,26,2,7.69
122,1991,San Marino,40,15,37.5
123,1991,Monaco,9,1,11.11
124,1991,Canada,33,7,21.21
125,1991,Mexico,54,5,9.26
126,1991,France,41,8,19.51
127,1991,Great Britain,43,8,18.6
128,1991,Germany,29,6,20.69
129,1991,Hungary,33,2,6.06
130,1991,Belgium,35,9,25.71
131,1991,Italy,29,8,27.59
132,1991,Portugal,25,6,24.0
133,1991,Spain,65,7,10.77
134,1991,Japan,6,1,16.67
135,1991,Australia,23,0,0.0
136,1991,Season,518,92,17.76
137,1992,South Africa,22,0,0.0
138,1992,Mexico,43,4,9.3
139,1992,Brazil,20,5,25.0
140,1992,Spain,41,8,19.51
141,1992,San Marino,22,1,4.55
142,1992,Monaco,7,1,14.29
143,1992,Canada,17,1,5.88
144,1992,France,4,1,25.0
145,1992,Great Britain,29,2,6.9
146,1992,Germany,20,2,10.0
147,1992,Hungary,27,9,33.33
148,1992,Belgium,63,22,34.92
149,1992,Italy,43,10,23.26
150,1992,Portugal,31,1,3.23
151,1992,Japan,18,2,11.11
152,1992,Australia,19,4,21.05
153,1992,Season,426,73,17.14
154,1993,South Africa,10,4,40.0
155,1993,Brazil,28,8,28.57
156,1993,Europe,31,2,6.45
157,1993,San Marino,22,8,36.36
158,1993,Spain,18,3,16.67
159,1993,Monaco,31,5,16.13
160,1993,Canada,11,7,63.64
161,1993,France,24,2,8.33
162,1993,Great Britain,26,4,15.38
163,1993,Germany,51,16,31.37
164,1993,Hungary,39,7,17.95
165,1993,Belgium,42,9,21.43
166,1993,Italy,30,7,23.33
167,1993,Portugal,29,0,0.0
168,1993,Japan,28,8,28.57
169,1993,Australia,14,2,14.29
170,1993,Season,434,92,21.2
171,1994,Brazil,20,3,15.0
172,1994,Pacific,16,7,43.75
173,1994,San Marino,0,0,0.0
174,1994,Monaco,9,1,11.11
175,1994,Spain,14,0,0.0
176,1994,Canada,28,4,14.29
177,1994,France,15,2,13.33
178,1994,Great Britain,36,3,8.33
179,1994,Germany,12,2,16.67
180,1994,Hungary,5,1,20.0
181,1994,Belgium,36,5,13.89
182,1994,Italy,31,3,9.68
183,1994,Portugal,27,3,11.11
184,1994,Europe,15,2,13.33
185,1994,Japan,3,0,0.0
186,1994,Australia,20,8,40.0
187,1994,Season,287,44,15.33
188,1995,Brazil,22,5,22.73
189,1995,Argentina,27,4,14.81
190,1995,San Marino,44,0,0.0
191,1995,Spain,19,2,10.53
192,1995,Monaco,9,0,0.0
193,1995,Canada,9,3,33.33
194,1995,France,9,1,11.11
195,1995,Great Britain,18,1,5.56
196,1995,Germany,22,7,31.82
