ID,Lap,Position,Overtaker,Overtaken,Live,Turn,Year,Race
1,2,18,Gasly,Magnussen,,4,2023,Bahrain
2,3,19,De Vries,Magnussen,,11,2023,Bahrain
3,4,10,Ocon,Norris,,1,2023,Bahrain
4,4,11,Albon,Norris,,4,2023,Bahrain
5,4,14,Tsunoda,Hulkenberg,,1,2023,Bahrain
6,5,8,Stroll,Bottas,Yes,1,2023,Bahrain
7,11,13,Piastri,Hulkenberg,Yes,1,2023,Bahrain
8,11,14,Zhou,Hulkenberg,,11,2023,Bahrain
9,13,5,Alonso,Russell,Yes,4,2023,Bahrain
10,13,12,Albon,Ocon,,2,2023,Bahrain
11,13,18,De Vries,Zhou,,1,2023,Bahrain
12,13,19,Hulkenberg,Zhou,,4,2023,Bahrain
13,14,8,Bottas,Magnussen,Yes,1,2023,Bahrain
14,14,18,Zhou,Hulkenberg,,1,2023,Bahrain
15,14,18,Hulkenberg,Zhou,,4,2023,Bahrain
16,15,9,Russell,Magnussen,Yes,1,2023,Bahrain
17,17,6,Alonso,Bottas,Yes,4,2023,Bahrain
18,18,7,Russell,Bottas,Yes,4,2023,Bahrain
19,18,15,Zhou,Hulkenberg,,4,2023,Bahrain
20,20,8,Stroll,Bottas,Yes,1,2023,Bahrain
21,23,18,Norris,Ocon,Yes,4,2023,Bahrain
22,25,14,Zhou,De Vries,,4,2023,Bahrain
23,26,2,Perez,Leclerc,Yes,1,2023,Bahrain
24,27,15,Gasly,Tsunoda,,2,2023,Bahrain
25,32,7,Stroll,Russell,Yes,4,2023,Bahrain
26,32,16,Magnussen,Ocon,,9,2023,Bahrain
27,37,5,Alonso,Hamilton,Yes,4,2023,Bahrain
28,37,5,Hamilton,Alonso,Yes,4,2023,Bahrain
29,38,5,Alonso,Hamilton,Yes,10,2023,Bahrain
30,42,9,Gasly,Albon,Yes,1,2023,Bahrain
31,42,11,Tsunoda,De Vries,Yes,4,2023,Bahrain
32,42,12,Tsunoda,Zhou,Replay,1,2023,Bahrain
33,43,12,Zhou,De Vries,,1,2023,Bahrain
34,44,13,Sargeant,De Vries,,1,2023,Bahrain
35,45,3,Alonso,Sainz,Yes,11,2023,Bahrain
36,47,12,Sargeant,Zhou,,4,2023,Bahrain
37,51,14,Magnussen,De Vries,Yes,1,2023,Bahrain
38,2,17,Sargeant,De Vries,,13,2023,Jeddah
39,4,1,Perez,Alonso,Yes,1,2023,Jeddah
40,4,12,Verstappen,Hulkenberg,,4,2023,Jeddah
41,5,11,Verstappen,Magnussen,,1,2023,Jeddah
42,6,12,Hulkenberg,Magnussen,,1,2023,Jeddah
43,7,8,Leclerc,Gasly,Yes,1,2023,Jeddah
44,8,10,Verstappen,Zhou,Yes,1,2023,Jeddah
45,8,14,Albon,Bottas,,1,2023,Jeddah
46,8,16,De Vries,Sargeant,,2,2023,Jeddah
47,9,7,Leclerc,Hamilton,Yes,1,2023,Jeddah
48,9,9,Verstappen,Gasly,Yes,27,2023,Jeddah
49,12,8,Verstappen,Hamilton,Yes,1,2023,Jeddah
50,12,16,Hulkenberg,Zhou,,27,2023,Jeddah
51,13,6,Leclerc,Ocon,Yes,1,2023,Jeddah
52,13,16,Zhou,Hulkenberg,,1,2023,Jeddah
53,14,7,Verstappen,Ocon,Yes,1,2023,Jeddah
54,21,12,Hulkenberg,Albon,,1,2023,Jeddah
55,21,14,Sargeant,De Vries,,1,2023,Jeddah
56,21,16,Zhou,Piastri,,1,2023,Jeddah
57,22,5,Hamilton,Sainz,Yes,4,2023,Jeddah
58,22,18,Norris,Bottas,,27,2023,Jeddah
59,23,3,Verstappen,Russell,Yes,27,2023,Jeddah
60,23,15,Zhou,De Vries,,1,2023,Jeddah
61,24,8,Ocon,Tsunoda,,1,2023,Jeddah
62,25,2,Verstappen,Alonso,Yes,1,2023,Jeddah
63,25,9,Gasly,Tsunoda,,1,2023,Jeddah
64,25,17,Norris,Piastri,,1,2023,Jeddah
65,38,13,Zhou,Sargeant,Yes,1,2023,Jeddah
66,41,14,De Vries,Sargeant,Yes,27,2023,Jeddah
67,44,16,Piastri,Norris,Replay,27,2023,Jeddah
68,45,16,Norris,Piastri,Yes,1,2023,Jeddah
69,46,10,Magnussen,Tsunoda,,27,2023,Jeddah
70,46,10,Tsunoda,Magnussen,Finish Line,27,2023,Jeddah
71,46,10,Magnussen,Tsunoda,Yes,1,2023,Jeddah
72,48,16,Piastri,Norris,Yes,1,2023,Jeddah
73,50,15,Piastri,Sargeant,,1,2023,Jeddah
74,4,17,Perez,Bottas,,9,2023,Australia
75,6,16,Perez,Zhou,,9,2023,Australia
76,11,9,Sainz,Norris,Yes,3,2023,Australia
77,12,1,Verstappen,Hamilton,Yes,9,2023,Australia
