Pos,Team,Driver,Time,Lap,Points,Race_ID,Year,Race_Name
1,McLaren,Norris,2.13,22,25.0,14,2023,Monza
2,Ferrari,Leclerc,2.32,20,18.0,14,2023,Monza
3,Red Bull,Perez,2.35,21,15.0,14,2023,Monza
4,AlphaTauri,Lawson,2.51,33,12.0,14,2023,Monza
5,AlphaTauri,Lawson,2.53,13,,14,2023,Monza
6,Red Bull,Verstappen,2.54,20,10.0,14,2023,Monza
7,Alfa Romeo,Zhou,2.63,11,8.0,14,2023,Monza
8,Mercedes,Russell,2.66,19,6.0,14,2023,Monza
9,Alpine,Ocon,2.69,24,4.0,14,2023,Monza
10,McLaren,Piastri,2.77,23,2.0,14,2023,Monza
11,Mercedes,Hamilton,2.83,27,1.0,14,2023,Monza
12,Haas,Magnussen,2.98,12,,14,2023,Monza
13,Alfa Romeo,Bottas,3.01,25,,14,2023,Monza
14,Williams,Albon,3.05,15,,14,2023,Monza
15,Alpine,Gasly,3.05,31,,14,2023,Monza
16,Haas,Hulkenberg,3.17,39,,14,2023,Monza
17,Aston Martin,Alonso,3.18,21,,14,2023,Monza
18,Haas,Magnussen,3.18,33,,14,2023,Monza
19,Williams,Sargeant,3.24,14,,14,2023,Monza
20,Ferrari,Sainz,3.35,19,,14,2023,Monza
21,Aston Martin,Stroll,3.96,20,,14,2023,Monza
22,Alfa Romeo,Zhou,4.15,33,,14,2023,Monza
23,Haas,Hulkenberg,4.48,14,,14,2023,Monza
24,Alpine,Gasly,5.98,10,,14,2023,Monza
25,McLaren,Piastri,10.21,41,,14,2023,Monza
1,Red Bull,Verstappen,2.01,61,25.0,13,2023,Zandvoort
2,Red Bull,Verstappen,2.21,49,,13,2023,Zandvoort
3,McLaren,Piastri,2.27,15,18.0,13,2023,Zandvoort
4,McLaren,Norris,2.27,42,15.0,13,2023,Zandvoort
5,Alpine,Ocon,2.43,10,12.0,13,2023,Zandvoort
6,AlphaTauri,Lawson,2.43,59,10.0,13,2023,Zandvoort
7,McLaren,Piastri,2.43,46,,13,2023,Zandvoort
8,Aston Martin,Stroll,2.46,4,8.0,13,2023,Zandvoort
9,Red Bull,Perez,2.46,45,6.0,13,2023,Zandvoort
10,Alpine,Ocon,2.48,43,,13,2023,Zandvoort
11,AlphaTauri,Lawson,2.51,46,,13,2023,Zandvoort
12,Red Bull,Verstappen,2.55,11,,13,2023,Zandvoort
13,AlphaTauri,Lawson,2.55,17,,13,2023,Zandvoort
14,Alpine,Gasly,2.58,11,4.0,13,2023,Zandvoort
15,AlphaTauri,Tsunoda,2.59,10,2.0,13,2023,Zandvoort
16,Alfa Romeo,Bottas,2.69,59,1.0,13,2023,Zandvoort
17,Red Bull,Perez,2.69,12,,13,2023,Zandvoort
18,Alpine,Gasly,2.69,60,,13,2023,Zandvoort
19,Aston Martin,Stroll,2.71,16,,13,2023,Zandvoort
20,Ferrari,Sainz,2.71,2,,13,2023,Zandvoort
21,Alfa Romeo,Zhou,2.82,10,,13,2023,Zandvoort
22,Red Bull,Verstappen,2.83,63,,13,2023,Zandvoort
23,McLaren,Norris,2.84,3,,13,2023,Zandvoort
24,Aston Martin,Alonso,2.88,2,,13,2023,Zandvoort
25,Mercedes,Hamilton,2.89,3,,13,2023,Zandvoort
26,Mercedes,Russell,2.9,16,,13,2023,Zandvoort
27,Red Bull,Perez,2.91,1,,13,2023,Zandvoort
28,Ferrari,Sainz,2.92,10,,13,2023,Zandvoort
29,Alfa Romeo,Zhou,2.93,1,,13,2023,Zandvoort
30,Aston Martin,Alonso,2.98,10,,13,2023,Zandvoort
31,Ferrari,Sainz,2.99,41,,13,2023,Zandvoort
32,Red Bull,Verstappen,3.02,2,,13,2023,Zandvoort
33,Ferrari,Sainz,3.03,60,,13,2023,Zandvoort
34,AlphaTauri,Tsunoda,3.05,60,,13,2023,Zandvoort
35,Aston Martin,Alonso,3.05,61,,13,2023,Zandvoort
36,Mercedes,Russell,3.09,10,,13,2023,Zandvoort
37,Aston Martin,Stroll,3.1,34,,13,2023,Zandvoort
38,McLaren,Norris,3.12,60,,13,2023,Zandvoort
39,Mercedes,Hamilton,3.14,9,,13,2023,Zandvoort
40,Mercedes,Hamilton,3.14,45,,13,2023,Zandvoort
41,McLaren,Piastri,3.15,60,,13,2023,Zandvoort
42,Williams,Albon,3.17,44,,13,2023,Zandvoort
43,Aston Martin,Stroll,3.21,9,,13,2023,Zandvoort
44,Red Bull,Perez,3.27,63,,13,2023,Zandvoort
45,Mercedes,Russell,3.34,60,,13,2023,Zandvoort
46,Haas,Magnussen,3.35,9,,13,2023,Zandvoort
47,Alfa Romeo,Bottas,3.35,16,,13,2023,Zandvoort
48,Haas,Hulkenberg,3.35,48,,13,2023,Zandvoort
49,McLaren,Norris,3.37,10,,13,2023,Zandvoort
50,Alfa Romeo,Bottas,3.46,47,,13,2023,Zandvoort
51,Alfa Romeo,Zhou,3.61,37,,13,2023,Zandvoort
52,Aston Martin,Stroll,3.68,60,,13,2023,Zandvoort
53,Alfa Romeo,Zhou,3.78,60,,13,2023,Zandvoort
54,Mercedes,Russell,3.8,4,,13,2023,Zandvoort
55,Mercedes,Russell,3.8,67,,13,2023,Zandvoort
56,Haas,Hulkenberg,3.82,16,,13,2023,Zandvoort
57,Haas,Magnussen,3.82,35,,13,2023,Zandvoort
58,Williams,Albon,3.94,61,,13,2023,Zandvoort
59,Mercedes,Hamilton,3.96,60,,13,2023,Zandvoort
60,Alpine,Ocon,4.07,61,,13,2023,Zandvoort
61,Alpine,Ocon,4.09,2,,13,2023,Zandvoort
62,Haas,Magnussen,4.83,60,,13,2023,Zandvoort
63,Haas,Hulkenberg,5.1,60,,13,2023,Zandvoort
64,Aston Martin,Alonso,8.39,48,,13,2023,Zandvoort
65,AlphaTauri,Lawson,9.0,1,,13,2023,Zandvoort
66,Ferrari,Leclerc,10.24,11,,13,2023,Zandvoort
67,Alpine,Gasly,10.61,1,,13,2023,Zandvoort
68,Haas,Magnussen,10.74,1,,13,2023,Zandvoort
69,Red Bull,Perez,10.92,60,,13,2023,Zandvoort
70,Ferrari,Leclerc,13.58,1,,13,2023,Zandvoort
71,AlphaTauri,Tsunoda,14.66,1,,13,2023,Zandvoort
1,Ferrari,Leclerc,2.19,13,25.0,12,2023,Spa
2,Red Bull,Perez,2.24,29,18.0,12,2023,Spa
3,AlphaTauri,Tsunoda,2.29,9,15.0,12,2023,Spa
4,AlphaTauri,Ricciardo,2.35,5,12.0,12,2023,Spa
5,Red Bull,Verstappen,2.38,30,10.0,12,2023,Spa
6,Aston Martin,Alonso,2.42,10,8.0,12,2023,Spa
7,Alpine,Ocon,2.45,6,6.0,12,2023,Spa
8,AlphaTauri,Tsunoda,2.49,24,,12,2023,Spa
9,Red Bull,Verstappen,2.51,14,,12,2023,Spa
10,AlphaTauri,Ricciardo,2.56,22,,12,2023,Spa
11,Ferrari,Sainz,2.65,7,4.0,12,2023,Spa
12,Ferrari,Leclerc,2.74,28,,12,2023,Spa
13,Williams,Sargeant,2.75,34,2.0,12,2023,Spa
14,Mercedes,Hamilton,2.76,12,1.0,12,2023,Spa
15,Alpine,Ocon,2.76,25,,12,2023,Spa
16,Williams,Albon,2.84,23,,12,2023,Spa
17,Mercedes,Hamilton,2.85,27,,12,2023,Spa
18,Williams,Albon,2.92,33,,12,2023,Spa
19,Mercedes,Russell,2.93,22,,12,2023,Spa
20,Mercedes,Hamilton,2.93,42,,12,2023,Spa
21,Haas,Magnussen,3.02,5,,12,2023,Spa
22,Alfa Romeo,Bottas,3.09,6,,12,2023,Spa
23,Haas,Magnussen,3.11,25,,12,2023,Spa
24,Williams,Sargeant,3.13,8,,12,2023,Spa
25,Red Bull,Perez,3.22,13,,12,2023,Spa
26,Alfa Romeo,Bottas,3.24,24,,12,2023,Spa
27,McLaren,Norris,3.33,17,,12,2023,Spa
28,Aston Martin,Alonso,3.33,29,,12,2023,Spa
29,Alfa Romeo,Zhou,3.42,25,,12,2023,Spa
30,Williams,Sargeant,3.44,24,,12,2023,Spa
31,Alfa Romeo,Zhou,3.88,7,,12,2023,Spa
32,Haas,Hulkenberg,3.99,12,,12,2023,Spa
33,Aston Martin,Stroll,4.36,20,,12,2023,Spa
34,McLaren,Norris,4.38,5,,12,2023,Spa
35,Williams,Albon,4.71,7,,12,2023,Spa
36,Alpine,Gasly,5.01,23,,12,2023,Spa
37,Haas,Hulkenberg,5.11,24,,12,2023,Spa
