Team,Delta,Year,Session,Track
Red Bull Racing,0.0,2023,1,Bahrain
Red Bull Racing,0.0,2023,2,Jeddah
Red Bull Racing,0.0,2023,3,Australia
Red Bull Racing,0.0,2023,4,Baku
Red Bull Racing,0.0,2023,5,Miami
Red Bull Racing,0.0,2023,6,Monaco
Red Bull Racing,0.0,2023,7,Spain
Red Bull Racing,0.0,2023,8,Montreal
Red Bull Racing,0.0,2023,9,Austria
Red Bull Racing,0.0,2023,10,Silverstone
Red Bull Racing,0.0,2023,11,Budapest
Red Bull Racing,0.0,2023,12,Spa
Red Bull Racing,0.0,2023,13,Zandvoort
Red Bull Racing,0.0,2023,14,Monza
Red Bull Racing,0.0,2023,15,Singapore
Red Bull Racing,0.0,2023,16,Suzuka
Red Bull Racing,0.08327450259683605,2023,17,Qatar
Red Bull Racing,0.0,2023,18,COTA
Red Bull Racing,0.0,2023,19,Mexico
Red Bull Racing,0.0,2023,20,Brazil
Red Bull Racing,0.0,2023,21,Vegas
Red Bull Racing,0.0,2023,22,Abu Dhabi
Ferrari,0.42171432993584823,2023,1,Bahrain
Ferrari,1.3226938123266283,2023,2,Jeddah
Ferrari,0.3280393770357948,2023,3,Australia
Ferrari,0.6822545444931158,2023,4,Baku
Ferrari,0.73782622178359,2023,5,Miami
Ferrari,1.5764304429590335,2023,6,Monaco
Ferrari,0.7661954177436334,2023,7,Spain
Ferrari,0.46754657268798905,2023,8,Montreal
Ferrari,0.5806122412472361,2023,9,Austria
Ferrari,0.6682430907778893,2023,10,Silverstone
Ferrari,1.0651828177861409,2023,11,Budapest
Ferrari,0.5214409543698612,2023,12,Spa
Ferrari,1.0828871081040943,2023,13,Zandvoort
Ferrari,0.12937514668371922,2023,14,Monza
Ferrari,0.0662458406129044,2023,15,Singapore
Ferrari,1.0154967793733443,2023,16,Suzuka
Ferrari,0.5864447532569148,2023,17,Qatar
Ferrari,0.29422650866115474,2023,18,COTA
Ferrari,0.7674632954241452,2023,19,Mexico
Ferrari,0.9536303668779327,2023,20,Brazil
Ferrari,0.08345791886869065,2023,21,Vegas
Ferrari,0.27350653510140394,2023,22,Abu Dhabi
Aston Martin,0.8992849633004283,2023,1,Bahrain
Aston Martin,0.839927634230233,2023,2,Jeddah
Aston Martin,0.38208651686875067,2023,3,Australia
Aston Martin,0.8124899221533741,2023,4,Baku
Aston Martin,0.45778106154470966,2023,5,Miami
Aston Martin,0.7728256312017774,2023,6,Monaco
Aston Martin,1.0939277677431942,2023,7,Spain
Aston Martin,0.3278199816978005,2023,8,Montreal
Aston Martin,1.1701496007355694,2023,9,Austria
Aston Martin,0.9723997625656989,2023,10,Silverstone
Aston Martin,1.222423030812239,2023,11,Budapest
Aston Martin,0.9663028834719121,2023,12,Spa
Aston Martin,0.5497009572558698,2023,13,Zandvoort
Aston Martin,1.0130671294534304,2023,14,Monza
Aston Martin,0.5192777826564257,2023,15,Singapore
Aston Martin,1.2508884778984501,2023,16,Suzuka
Aston Martin,0.8797171727007468,2023,17,Qatar
Aston Martin,0.5728599458490311,2023,18,COTA
Aston Martin,2.2455893934529496,2023,19,Mexico
Aston Martin,0.6173053099577078,2023,20,Brazil
Aston Martin,0.8837233865641977,2023,21,Vegas
Aston Martin,0.5636899269184404,2023,22,Abu Dhabi
Mercedes,0.9372061133224389,2023,1,Bahrain
Mercedes,1.0709390976670559,2023,2,Jeddah
Mercedes,0.38331209631353097,2023,3,Australia
Mercedes,1.0700385012476519,2023,4,Baku
Mercedes,0.5568382211988966,2023,5,Miami
Mercedes,1.67443074464367,2023,6,Monaco
Mercedes,0.23331159372913907,2023,7,Spain
Mercedes,0.2647621491610897,2023,8,Montreal
