Team,Delta,Year,Session,Track
Red Bull Racing,0.0,2023,1,Bahrain
Red Bull Racing,0.0,2023,2,Jeddah
Red Bull Racing,0.0,2023,3,Australia
Red Bull Racing,0.0,2023,4,Baku
Red Bull Racing,0.0,2023,5,Miami
Red Bull Racing,0.0,2023,6,Monaco
Red Bull Racing,0.0,2023,7,Spain
Red Bull Racing,0.0,2023,8,Montreal
Red Bull Racing,0.0,2023,9,Austria
Red Bull Racing,0.0,2023,10,Silverstone
Red Bull Racing,0.0,2023,11,Budapest
Red Bull Racing,0.0,2023,12,Spa
Red Bull Racing,0.0,2023,13,Zandvoort
Red Bull Racing,0.0,2023,14,Monza
Red Bull Racing,0.0,2023,15,Singapore
Red Bull Racing,0.0,2023,16,Suzuka
Red Bull Racing,0.23376502029780988,2023,17,Qatar
Red Bull Racing,0.0,2023,18,COTA
Red Bull Racing,0.0,2023,19,Mexico
Red Bull Racing,0.0,2023,20,Brazil
Red Bull Racing,0.0,2023,21,Vegas
Red Bull Racing,0.0,2023,22,Abu Dhabi
Ferrari,0.42171432993584823,2023,1,Bahrain
Ferrari,1.3090639004120896,2023,2,Jeddah
Ferrari,0.34332056701099184,2023,3,Australia
Ferrari,0.685728015404443,2023,4,Baku
Ferrari,0.73782622178359,2023,5,Miami
Ferrari,1.5764304429590335,2023,6,Monaco
Ferrari,0.7661954177436334,2023,7,Spain
Ferrari,0.46754657268798905,2023,8,Montreal
Ferrari,0.6142249199845193,2023,9,Austria
Ferrari,0.688766997751171,2023,10,Silverstone
Ferrari,0.9794851116703798,2023,11,Budapest
Ferrari,0.5556707295026676,2023,12,Spa
Ferrari,1.0828871081040943,2023,13,Zandvoort
Ferrari,0.024252558769041668,2023,14,Monza
Ferrari,0.06934191628016596,2023,15,Singapore
Ferrari,1.0154967793733443,2023,16,Suzuka
Ferrari,0.6607060178247915,2023,17,Qatar
Ferrari,0.30572544042147415,2023,18,COTA
Ferrari,0.7641439686531402,2023,19,Mexico
Ferrari,0.8691338749351241,2023,20,Brazil
Ferrari,0.1923580520886991,2023,21,Vegas
Ferrari,0.2736407015329475,2023,22,Abu Dhabi
Aston Martin,0.8992849633004283,2023,1,Bahrain
Aston Martin,0.8444415996354383,2023,2,Jeddah
Aston Martin,0.38208651686875067,2023,3,Australia
Aston Martin,0.7988844995513802,2023,4,Baku
Aston Martin,0.45778106154470966,2023,5,Miami
Aston Martin,0.7728256312017774,2023,6,Monaco
Aston Martin,1.0939277677431942,2023,7,Spain
Aston Martin,0.3278199816978005,2023,8,Montreal
Aston Martin,1.1909931924592463,2023,9,Austria
Aston Martin,0.976099912491307,2023,10,Silverstone
Aston Martin,1.234218507805638,2023,11,Budapest
Aston Martin,0.9559347134279914,2023,12,Spa
Aston Martin,0.5497009572558698,2023,13,Zandvoort
Aston Martin,1.028295887713253,2023,14,Monza
Aston Martin,0.525755960549573,2023,15,Singapore
Aston Martin,1.2508884778984501,2023,16,Suzuka
Aston Martin,1.055678609559963,2023,17,Qatar
Aston Martin,0.5614759967860099,2023,18,COTA
Aston Martin,2.2268833940977935,2023,19,Mexico
Aston Martin,0.5284732461275229,2023,20,Brazil
Aston Martin,0.9131845457898373,2023,21,Vegas
Aston Martin,0.5636899269184404,2023,22,Abu Dhabi
Mercedes,0.9372061133224389,2023,1,Bahrain
Mercedes,1.0625378604308628,2023,2,Jeddah
Mercedes,0.38331209631353097,2023,3,Australia
Mercedes,1.0563983204796628,2023,4,Baku
Mercedes,0.5568382211988966,2023,5,Miami
Mercedes,1.67443074464367,2023,6,Monaco
Mercedes,0.23331159372913907,2023,7,Spain
Mercedes,0.2647621491610897,2023,8,Montreal
