ID,Team,Delta,Year,Session,Track
1,Red Bull Racing,0.0,2023,1,Bahrain
2,Red Bull Racing,0.0,2023,2,Jeddah
3,Red Bull Racing,0.0,2023,3,Australia
4,Red Bull Racing,0.0,2023,4,Baku
5,Red Bull Racing,0.0,2023,5,Miami
6,Red Bull Racing,0.0,2023,6,Monaco
7,Red Bull Racing,0.0,2023,7,Spain
8,Red Bull Racing,0.0,2023,8,Montreal
9,Red Bull Racing,0.0,2023,9,Austria
10,Red Bull Racing,0.0,2023,10,Silverstone
11,Red Bull Racing,0.0,2023,11,Budapest
12,Red Bull Racing,0.0,2023,12,Spa
13,Red Bull Racing,0.0,2023,13,Zandvoort
14,Red Bull Racing,0.0,2023,14,Monza
15,Red Bull Racing,0.4207421147537292,2023,15,Singapore
16,Red Bull Racing,0.0,2023,16,Suzuka
17,Red Bull Racing,0.0637698930908922,2023,17,Qatar
18,Red Bull Racing,0.0045127816198607,2023,18,COTA
19,Red Bull Racing,0.0,2023,19,Mexico
20,Red Bull Racing,0.0,2023,20,Brazil
21,Red Bull Racing,0.0,2023,21,Vegas
22,Red Bull Racing,0.0,2023,22,Abu Dhabi
23,Aston Martin,0.6660110338359123,2023,1,Bahrain
24,Aston Martin,0.3709382232246172,2023,2,Jeddah
25,Aston Martin,0.2729088671536039,2023,3,Australia
26,Aston Martin,0.449736512672138,2023,4,Baku
27,Aston Martin,0.5737568266550388,2023,5,Miami
28,Aston Martin,0.2623793035825433,2023,6,Monaco
29,Aston Martin,1.0994576392408786,2023,7,Spain
30,Aston Martin,0.2287326080945904,2023,8,Montreal
31,Aston Martin,1.2322856829625677,2023,9,Austria
32,Aston Martin,0.9814269025050372,2023,10,Silverstone
33,Aston Martin,1.2091703048860254,2023,11,Budapest
34,Aston Martin,1.0259448287865918,2023,12,Spa
35,Aston Martin,0.4517165130218886,2023,13,Zandvoort
36,Aston Martin,0.8706474132923623,2023,14,Monza
37,Aston Martin,0.9342650920627624,2023,15,Singapore
38,Aston Martin,1.8224530866087096,2023,16,Suzuka
39,Aston Martin,0.925359672603108,2023,17,Qatar
40,Aston Martin,0.6669967930054668,2023,18,COTA
41,Aston Martin,2.23474610145254,2023,19,Mexico
42,Aston Martin,0.605524826504465,2023,20,Brazil
43,Aston Martin,0.8223872803964126,2023,21,Vegas
44,Aston Martin,0.6199494408399029,2023,22,Abu Dhabi
45,Alpine,0.8336738212855679,2023,1,Bahrain
46,Alpine,1.6242241277468448,2023,2,Jeddah
47,Alpine,0.521192081595267,2023,3,Australia
48,Alpine,1.4045318893305254,2023,4,Baku
49,Alpine,1.0930181584724017,2023,5,Miami
50,Alpine,0.5266275151788559,2023,6,Monaco
51,Alpine,1.1820794324570711,2023,7,Spain
52,Alpine,1.346795478408985,2023,8,Montreal
53,Alpine,1.7479236037152064,2023,9,Austria
54,Alpine,1.3133370451610349,2023,10,Silverstone
55,Alpine,,2023,11,Budapest
56,Alpine,1.2852152280477718,2023,12,Spa
57,Alpine,0.6512707954780412,2023,13,Zandvoort
58,Alpine,0.9786178448376424,2023,14,Monza
59,Alpine,0.6017398227254429,2023,15,Singapore
60,Alpine,1.479964167045551,2023,16,Suzuka
61,Alpine,1.296077597232233,2023,17,Qatar
62,Alpine,0.749742278147575,2023,18,COTA
63,Alpine,1.864111292419239,2023,19,Mexico
64,Alpine,0.9627852696780322,2023,20,Brazil
65,Alpine,0.7910506838936894,2023,21,Vegas
66,Alpine,1.1692564603198825,2023,22,Abu Dhabi
67,Mercedes,0.9515809700049024,2023,1,Bahrain
68,Mercedes,0.8888173149038268,2023,2,Jeddah
69,Mercedes,0.2710209936633617,2023,3,Australia
70,Mercedes,0.8536269463468968,2023,4,Baku
71,Mercedes,0.6451862918852408,2023,5,Miami
72,Mercedes,0.5605660830245113,2023,6,Monaco
73,Mercedes,0.3854786819235337,2023,7,Spain
74,Mercedes,0.285405116902295,2023,8,Montreal
75,Mercedes,1.4555495035338162,2023,9,Austria
76,Mercedes,0.5492818495878662,2023,10,Silverstone
77,Mercedes,0.6153470518329001,2023,11,Budapest
78,Mercedes,0.2416106604477887,2023,12,Spa
79,Mercedes,1.0561149426889545,2023,13,Zandvoort
80,Mercedes,0.4104970982819538,2023,14,Monza
81,Mercedes,0.0,2023,15,Singapore
82,Mercedes,1.0094830298639923,2023,16,Suzuka
83,Mercedes,0.6150894212432942,2023,17,Qatar
84,Mercedes,0.0,2023,18,COTA
85,Mercedes,0.476092445822643,2023,19,Mexico
86,Mercedes,0.9744284999663542,2023,20,Brazil
87,Mercedes,0.5946924464556289,2023,21,Vegas
88,Mercedes,0.3137807418911803,2023,22,Abu Dhabi
89,AlphaTauri,1.1935567327845502,2023,1,Bahrain
90,AlphaTauri,2.1076791141645552,2023,2,Jeddah
91,AlphaTauri,1.8426936606223343,2023,3,Australia
92,AlphaTauri,1.7175866431130442,2023,4,Baku
93,AlphaTauri,1.1858623346606814,2023,5,Miami
94,AlphaTauri,1.6334810189050035,2023,6,Monaco
95,AlphaTauri,1.2192551004633532,2023,7,Spain
96,AlphaTauri,1.473225350143594,2023,8,Montreal
97,AlphaTauri,2.561438477161825,2023,9,Austria
98,AlphaTauri,1.438082102871048,2023,10,Silverstone
99,AlphaTauri,1.9283596499719,2023,11,Budapest
100,AlphaTauri,1.451480907443704,2023,12,Spa
101,AlphaTauri,2.256660681506439,2023,13,Zandvoort
102,AlphaTauri,0.8588168026406242,2023,14,Monza
103,AlphaTauri,1.8083519043042444,2023,15,Singapore
104,AlphaTauri,2.112399911647172,2023,16,Suzuka
105,AlphaTauri,2.2048056487852983,2023,17,Qatar
106,AlphaTauri,0.8055568141208395,2023,18,COTA
107,AlphaTauri,1.1349348385436502,2023,19,Mexico
108,AlphaTauri,1.0632081819023376,2023,20,Brazil
109,AlphaTauri,1.7825582312953028,2023,21,Vegas
110,AlphaTauri,0.8873529779120688,2023,22,Abu Dhabi
111,Alfa Romeo,1.2469092906004782,2023,1,Bahrain
112,Alfa Romeo,2.1510556178026667,2023,2,Jeddah
113,Alfa Romeo,1.7740464509412197,2023,3,Australia
114,Alfa Romeo,2.3965000357282578,2023,4,Baku
115,Alfa Romeo,1.3304974149861315,2023,5,Miami
116,Alfa Romeo,2.029670770170457,2023,6,Monaco
117,Alfa Romeo,1.2056200209718897,2023,7,Spain
118,Alfa Romeo,1.6128602175713582,2023,8,Montreal
119,Alfa Romeo,2.3802812429860225,2023,9,Austria
120,Alfa Romeo,1.5488232989378787,2023,10,Silverstone
121,Alfa Romeo,1.8493216792887477,2023,11,Budapest
122,Alfa Romeo,1.5278447198562988,2023,12,Spa
123,Alfa Romeo,1.892889062795064,2023,13,Zandvoort
124,Alfa Romeo,1.0183109609277743,2023,14,Monza
125,Alfa Romeo,1.507741364434843,2023,15,Singapore
126,Alfa Romeo,2.1242291516583323,2023,16,Suzuka
127,Alfa Romeo,1.5048812025192122,2023,17,Qatar
128,Alfa Romeo,1.577409788983145,2023,18,COTA
129,Alfa Romeo,2.187874307738754,2023,19,Mexico
130,Alfa Romeo,1.5988729343168555,2023,20,Brazil
131,Alfa Romeo,2.0504575105450678,2023,21,Vegas
132,Alfa Romeo,1.4830336487518192,2023,22,Abu Dhabi
133,Williams,1.2541139733322468,2023,1,Bahrain
134,Williams,2.6972988727464,2023,2,Jeddah
135,Williams,2.2599702262507235,2023,3,Australia
136,Williams,1.8378556987857928,2023,4,Baku
137,Williams,1.3585357470770485,2023,5,Miami
138,Williams,2.199345853903173,2023,6,Monaco
139,Williams,1.825448009521336,2023,7,Spain
140,Williams,1.818985139175863,2023,8,Montreal
141,Williams,2.034518893923356,2023,9,Austria
142,Williams,1.087603450902987,2023,10,Silverstone
143,Williams,1.8992946776362745,2023,11,Budapest
144,Williams,1.375886712495394,2023,12,Spa
145,Williams,1.05288936547146,2023,13,Zandvoort
146,Williams,0.987280790929557,2023,14,Monza
147,Williams,1.0716017766001795,2023,15,Singapore
148,Williams,2.6196268295437872,2023,16,Suzuka
149,Williams,1.2966857195603263,2023,17,Qatar
150,Williams,1.3072883142286356,2023,18,COTA
151,Williams,1.768328843845695,2023,19,Mexico
152,Williams,1.84996399653784,2023,20,Brazil
153,Williams,1.4574611398910684,2023,21,Vegas
154,Williams,1.19187299500023,2023,22,Abu Dhabi
155,Haas F1 Team,1.4173024456674954,2023,1,Bahrain
156,Haas F1 Team,1.8894199635489488,2023,2,Jeddah
