ID,Team|Component|Reason|Race|Year|Round
1,Red Bull|Floor Edge|Performance|Bahrain|2023|1
2,Red Bull|Front Wing|Performance|Bahrain|2023|1
3,Red Bull|Coke/Engine Cover|Reliability|Bahrain|2023|1
4,Ferrari|Front Suspension|Performance|Bahrain|2023|1
5,Ferrari|Front Wing|Performance|Bahrain|2023|1
6,Ferrari|Coke/Engine Cover|Performance|Bahrain|2023|1
7,Mercedes|Front Wing Endplate|Performance|Bahrain|2023|1
8,Mercedes|Rear Wing|Performance|Bahrain|2023|1
9,Mercedes|Nose|Performance|Bahrain|2023|1
10,Mercedes|Floor Edge|Performance|Bahrain|2023|1
11,Mercedes|Sidepod Inlet|Performance|Bahrain|2023|1
12,Mercedes|Front Suspension|Performance|Bahrain|2023|1
13,Alpine|Front Wing|Performance|Bahrain|2023|1
14,Alpine|Nose|Performance|Bahrain|2023|1
15,Alpine|Front Suspension|Performance|Bahrain|2023|1
16,Alpine|Front Corner|Performance|Bahrain|2023|1
17,Alpine|Floor Body|Performance|Bahrain|2023|1
18,Alpine|Coke/Engine Cover|Performance|Bahrain|2023|1
19,Alpine|Rear Suspension|Performance|Bahrain|2023|1
20,Alpine|Rear Corner|Performance|Bahrain|2023|1
21,Alpine|Beam Wing|Performance|Bahrain|2023|1
22,Alpine|Rear Wing|Performance|Bahrain|2023|1
23,McLaren|Front Wing|Performance|Bahrain|2023|1
24,McLaren|Floor Body|Performance|Bahrain|2023|1
25,McLaren|Front Corner|Circuit Specific|Bahrain|2023|1
26,McLaren|Sidepod Inlet|Performance|Bahrain|2023|1
27,McLaren|Coke/Engine Cover|Performance|Bahrain|2023|1
28,McLaren|Cooling Louvres|Performance|Bahrain|2023|1
29,McLaren|Beam Wing|Performance|Bahrain|2023|1
30,McLaren|Rear Corner|Circuit Specific|Bahrain|2023|1
31,Alfa Romeo|Front Suspension|Performance|Bahrain|2023|1
32,Alfa Romeo|Floor Body|Performance|Bahrain|2023|1
33,Alfa Romeo|Halo|Performance|Bahrain|2023|1
34,Alfa Romeo|Sidepod Inlet|Performance|Bahrain|2023|1
35,Alfa Romeo|Coke/Engine Cover|Performance|Bahrain|2023|1
36,Alfa Romeo|Rear Corner|Performance|Bahrain|2023|1
37,Alfa Romeo|Rear Suspension|Performance|Bahrain|2023|1
38,Alfa Romeo|Beam Wing|Performance|Bahrain|2023|1
39,Aston Martin|Nose|Performance|Bahrain|2023|1
