qualifyId,raceId,driverId,constructorId,number,position,q1,q2,q3
1,1,18,23,22,1,1:25.211,1:24.855,1:26.202
2,1,22,23,23,2,1:25.006,1:24.783,1:26.505
3,1,20,9,15,3,1:25.938,1:25.121,1:26.830
4,1,9,2,5,4,1:25.922,1:25.152,1:26.914
5,1,3,3,16,5,1:25.846,1:25.123,1:26.973
6,1,10,7,10,6,1:25.499,1:25.281,1:26.975
7,1,13,6,3,7,1:25.844,1:25.319,1:27.033
8,1,15,7,9,8,1:26.194,1:25.265,1:27.127
9,1,8,6,4,9,1:25.899,1:25.380,1:27.163
10,1,17,9,14,10,1:25.427,1:25.241,1:27.246
11,1,2,2,6,11,1:25.827,1:25.504,\N
12,1,4,4,7,12,1:26.026,1:25.605,\N
13,1,6,3,17,13,1:26.074,1:25.607,\N
14,1,5,1,2,14,1:26.184,1:25.726,\N
15,1,1,1,1,15,1:26.454,\N,\N
16,1,67,5,12,16,1:26.503,\N,\N
17,1,12,4,8,17,1:26.598,\N,\N
18,1,21,10,21,18,1:26.677,\N,\N
19,1,16,10,20,19,1:26.742,\N,\N
20,1,7,5,11,20,1:26.964,\N,\N
21,2,18,23,22,1,1:35.058,1:33.784,1:35.181
22,2,15,7,9,2,1:34.745,1:33.990,1:35.273
23,2,20,9,15,3,1:34.935,1:34.276,1:35.518
24,2,22,23,23,4,1:34.681,1:34.387,1:35.651
25,2,10,7,10,5,1:34.907,1:34.258,1:35.690
26,2,3,3,16,6,1:35.083,1:34.547,1:35.750
27,2,17,9,14,7,1:35.027,1:34.222,1:35.797
28,2,9,2,5,8,1:35.166,1:34.562,1:36.106
29,2,8,6,4,9,1:35.476,1:34.456,1:36.170
30,2,4,4,7,10,1:35.260,1:34.706,1:37.659
31,2,2,2,5,11,1:35.110,1:34.769,\N
32,2,6,3,17,12,1:35.341,1:34.788,\N
33,2,1,1,1,13,1:35.280,1:34.905,\N
34,2,5,1,2,14,1:35.023,1:34.924,\N
35,2,7,5,11,15,1:35.507,1:35.431,\N
36,2,13,6,3,16,1:35.642,\N,\N
37,2,12,4,8,17,1:35.708,\N,\N
38,2,21,10,21,18,1:35.908,\N,\N
39,2,16,10,20,19,1:35.951,\N,\N
40,2,67,5,12,20,1:36.107,\N,\N
41,3,20,9,15,1,1:36.565,1:35.130,1:36.184
42,3,4,4,7,2,1:36.443,1:35.803,1:36.381
43,3,17,9,14,3,1:35.751,1:35.173,1:36.466
44,3,22,23,23,4,1:35.701,1:35.503,1:36.493
45,3,18,23,22,5,1:35.533,1:35.556,1:36.532
