resultId,raceId,driverId,constructorId,driverCurrentNumber,grid,positionOrder,positionText,position,points,laps,totalRaceTime,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId
1,1,18,23,22.0,1,1.0,1,1,10.0,58,1:34:15.784,5655784.0,17.0,3.0,1:28.020,216.891,1
2,1,22,23,23.0,2,2.0,2,2,8.0,58,+0.807,5656591.0,43.0,14.0,1:29.066,214.344,1
3,1,15,7,9.0,20,3.0,3,3,6.0,58,+1.604,5657388.0,50.0,10.0,1:28.916,214.706,1
4,1,10,7,10.0,19,4.0,4,4,5.0,58,+4.435,5660219.0,53.0,6.0,1:28.416,215.92,1
5,1,4,4,7.0,10,5.0,5,5,4.0,58,+4.879,5660663.0,53.0,9.0,1:28.712,215.199,1
6,1,3,3,16.0,5,6.0,6,6,3.0,58,+5.722,5661506.0,48.0,1.0,1:27.706,217.668,1
7,1,67,5,12.0,13,7.0,7,7,2.0,58,+6.004,5661788.0,34.0,16.0,1:29.230,213.95,1
8,1,7,5,11.0,17,8.0,8,8,1.0,58,+6.298,5662082.0,50.0,17.0,1:29.823,212.537,1
9,1,16,10,20.0,16,9.0,9,9,0.0,58,+6.335,5662119.0,43.0,11.0,1:28.943,214.64,1
10,1,2,2,6.0,9,10.0,10,10,0.0,58,+7.085,5662869.0,48.0,5.0,1:28.283,216.245,1
11,1,21,10,21.0,15,11.0,11,11,0.0,58,+7.374,5663158.0,51.0,12.0,1:29.005,214.491,1
12,1,17,9,14.0,8,12.0,12,12,0.0,57,,,38.0,8.0,1:28.508,215.695,11
13,1,20,9,15.0,3,13.0,13,13,0.0,56,,,8.0,4.0,1:28.140,216.596,4
14,1,9,2,5.0,4,14.0,14,14,0.0,55,,,36.0,2.0,1:27.988,216.97,4
15,1,8,6,4.0,7,15.0,15,15,0.0,55,,,35.0,7.0,1:28.488,215.744,24
16,1,13,6,3.0,6,,R,16,0.0,45,,,30.0,15.0,1:29.141,214.164,22
17,1,12,4,8.0,14,,R,17,0.0,24,,,17.0,19.0,1:30.502,210.943,20
18,1,6,3,17.0,11,,R,18,0.0,17,,,6.0,18.0,1:29.923,212.301,3
19,1,5,1,2.0,12,,R,19,0.0,0,,,,,,,4
20,1,1,1,1.0,18,,D,20,0.0,58,,,39.0,13.0,1:29.020,214.455,2
21,2,18,23,22.0,1,1.0,1,1,5.0,31,1:10:52.092,4252092.0,18.0,1.0,1:36.641,206.483,1
22,2,2,2,6.0,10,2.0,2,2,4.0,31,+22.722,4274814.0,17.0,10.0,1:39.084,201.392,1
23,2,10,7,10.0,3,3.0,3,3,3.0,31,+23.513,4275605.0,18.0,16.0,1:39.406,200.74,1
24,2,15,7,9.0,2,4.0,4,4,2.5,31,+46.173,4298265.0,12.0,3.0,1:37.591,204.473,1
25,2,22,23,23.0,8,5.0,5,5,2.0,31,+47.360,4299452.0,17.0,2.0,1:37.484,204.698,1
26,2,17,9,14.0,5,6.0,6,6,1.5,31,+52.333,4304425.0,14.0,5.0,1:37.672,204.304,1
27,2,1,1,1.0,12,7.0,7,7,1.0,31,+1:00.733,4312825.0,17.0,11.0,1:39.141,201.276,1
28,2,3,3,16.0,4,8.0,8,8,0.5,31,+1:11.576,4323668.0,13.0,4.0,1:37.598,204.459,1
29,2,13,6,3.0,16,9.0,9,9,0.0,31,+1:16.932,4329024.0,17.0,13.0,1:39.250,201.055,1
30,2,7,5,11.0,15,10.0,10,10,0.0,31,+1:42.164,4354256.0,17.0,12.0,1:39.242,201.072,1
31,2,4,4,7.0,9,11.0,11,11,0.0,31,,,17.0,9.0,1:39.006,201.551,11
32,2,6,3,17.0,11,12.0,12,12,0.0,31,,,17.0,15.0,1:39.387,200.778,11
33,2,12,4,8.0,17,13.0,13,13,0.0,31,,,18.0,14.0,1:39.268,201.019,11
34,2,8,6,4.0,7,14.0,14,14,0.0,31,,,17.0,7.0,1:38.453,202.683,11
35,2,20,9,15.0,13,15.0,15,15,0.0,30,,,10.0,6.0,1:38.427,202.737,20
36,2,67,5,12.0,20,16.0,16,16,0.0,30,,,16.0,8.0,1:38.938,201.689,20
37,2,16,10,20.0,19,17.0,17,17,0.0,30,,,17.0,18.0,1:39.464,200.623,11
38,2,21,10,21.0,18,18.0,18,18,0.0,29,,,16.0,17.0,1:39.407,200.738,20
39,2,9,2,5.0,6,,R,19,0.0,1,,,,,,,5
40,2,5,1,2.0,14,,R,20,0.0,0,,,,,,,20
41,3,20,9,15.0,1,1.0,1,1,10.0,56,1:57:43.485,7063485.0,42.0,2.0,1:52.627,174.235,1
42,3,17,9,14.0,3,2.0,2,2,8.0,56,+10.970,7074455.0,42.0,4.0,1:52.980,173.69,1
43,3,18,23,22.0,5,3.0,3,3,6.0,56,+44.975,7108460.0,44.0,6.0,1:53.546,172.825,1
44,3,22,23,23.0,4,4.0,4,4,5.0,56,+1:03.704,7127189.0,42.0,1.0,1:52.592,174.289,1
45,3,5,1,2.0,12,5.0,5,5,4.0,56,+1:05.102,7128587.0,41.0,10.0,1:54.516,171.361,1
46,3,1,1,1.0,9,6.0,6,6,3.0,56,+1:11.866,7135351.0,39.0,12.0,1:54.665,171.138,1
47,3,10,7,10.0,19,7.0,7,7,2.0,56,+1:14.476,7137961.0,42.0,3.0,1:52.703,174.117,1
48,3,67,5,12.0,10,8.0,8,8,1.0,56,+1:16.439,7139924.0,42.0,11.0,1:54.590,171.25,1
49,3,4,4,7.0,2,9.0,9,9,0.0,56,+1:24.309,7147794.0,38.0,9.0,1:54.481,171.413,1
50,3,8,6,4.0,8,10.0,10,10,0.0,56,+1:31.750,7155235.0,38.0,15.0,1:55.396,170.054,1
51,3,7,5,11.0,15,11.0,11,11,0.0,56,+1:34.156,7157641.0,43.0,5.0,1:53.474,172.934,1
52,3,2,2,6.0,11,12.0,12,12,0.0,56,+1:35.834,7159319.0,40.0,7.0,1:54.158,171.898,1
53,3,9,2,5.0,17,13.0,13,13,0.0,56,+1:46.853,7170338.0,44.0,14.0,1:55.350,170.122,1
54,3,21,10,21.0,20,14.0,14,14,0.0,55,,,37.0,18.0,1:56.239,168.821,11
55,3,3,3,16.0,7,15.0,15,15,0.0,55,,,55.0,8.0,1:54.243,171.77,11
56,3,12,4,8.0,16,16.0,16,16,0.0,54,,,42.0,16.0,1:55.535,169.849,12
57,3,16,10,20.0,18,17.0,17,17,0.0,50,,,41.0,13.0,1:54.777,170.971,20
58,3,6,3,17.0,14,,R,18,0.0,43,,,38.0,17.0,1:56.167,168.925,31
59,3,13,6,3.0,13,,R,19,0.0,20,,,16.0,19.0,1:56.484,168.466,40
60,3,15,7,9.0,6,,R,20,0.0,18,,,14.0,20.0,2:00.330,163.081,4
61,4,18,23,22.0,4,1.0,1,1,10.0,57,1:31:48.182,5508182.0,11.0,3.0,1:34.588,205.979,1
62,4,20,9,15.0,3,2.0,2,2,8.0,57,+7.187,5515369.0,16.0,4.0,1:34.756,205.614,1
63,4,15,7,9.0,1,3.0,3,3,6.0,57,+9.170,5517352.0,10.0,1.0,1:34.556,206.049,1
64,4,1,1,1.0,5,4.0,4,4,5.0,57,+22.096,5530278.0,13.0,6.0,1:34.915,205.269,1
65,4,22,23,23.0,6,5.0,5,5,4.0,57,+37.779,5545961.0,25.0,5.0,1:34.901,205.3,1
66,4,8,6,4.0,10,6.0,6,6,3.0,57,+42.057,5550239.0,42.0,11.0,1:35.498,204.016,1
67,4,10,7,10.0,2,7.0,7,7,2.0,57,+42.880,5551062.0,6.0,2.0,1:34.574,206.01,1
68,4,4,4,7.0,7,8.0,8,8,1.0,57,+52.775,5560957.0,29.0,14.0,1:35.722,203.539,1
69,4,3,3,16.0,9,9.0,9,9,0.0,57,+58.198,5566380.0,37.0,15.0,1:35.816,203.339,1
70,4,12,4,8.0,15,10.0,10,10,0.0,57,+1:05.149,5573331.0,37.0,10.0,1:35.441,204.138,1
71,4,17,9,14.0,18,11.0,11,11,0.0,57,+1:07.641,5575823.0,50.0,8.0,1:35.165,204.73,1
72,4,5,1,2.0,11,12.0,12,12,0.0,57,+1:17.824,5586006.0,54.0,12.0,1:35.520,203.969,1
73,4,7,5,11.0,20,13.0,13,13,0.0,57,+1:18.805,5586987.0,30.0,9.0,1:35.410,204.205,1
74,4,13,6,3.0,8,14.0,14,14,0.0,56,,,41.0,7.0,1:35.065,204.946,11
75,4,21,10,21.0,17,15.0,15,15,0.0,56,,,9.0,19.0,1:36.376,202.158,11
76,4,16,10,20.0,19,16.0,16,16,0.0,56,,,28.0,18.0,1:36.219,202.488,11
77,4,67,5,12.0,16,17.0,17,17,0.0,56,,,38.0,20.0,1:36.473,201.954,11
78,4,9,2,5.0,13,18.0,18,18,0.0,56,,,50.0,13.0,1:35.706,203.573,11
79,4,2,2,6.0,14,19.0,19,19,0.0,56,,,52.0,16.0,1:35.924,203.11,11
80,4,6,3,17.0,12,,R,20,0.0,48,,,39.0,17.0,1:36.153,202.627,51
81,5,18,23,22.0,1,1.0,1,1,10.0,66,1:37:19.202,5839202.0,17.0,2.0,1:22.899,202.149,1
82,5,22,23,23.0,3,2.0,2,2,8.0,66,+13.056,5852258.0,28.0,1.0,1:22.762,202.484,1
83,5,17,9,14.0,5,3.0,3,3,6.0,66,+13.924,5853126.0,18.0,5.0,1:23.112,201.631,1
84,5,20,9,15.0,2,4.0,4,4,5.0,66,+18.941,5858143.0,41.0,4.0,1:23.090,201.684,1
85,5,4,4,7.0,8,5.0,5,5,4.0,66,+43.166,5882368.0,14.0,6.0,1:23.420,200.887,1
86,5,13,6,3.0,4,6.0,6,6,3.0,66,+50.827,5890029.0,14.0,3.0,1:23.089,201.687,1
87,5,2,2,6.0,13,7.0,7,7,2.0,66,+52.312,5891514.0,29.0,10.0,1:23.878,199.79,1
88,5,3,3,16.0,9,8.0,8,8,1.0,66,+1:05.211,5904413.0,24.0,7.0,1:23.621,200.404,1
89,5,1,1,1.0,14,9.0,9,9,0.0,65,,,29.0,9.0,1:23.839,199.883,11
90,5,10,7,10.0,6,10.0,10,10,0.0,65,,,44.0,12.0,1:24.134,199.182,11
91,5,9,2,5.0,10,11.0,11,11,0.0,65,,,26.0,11.0,1:24.078,199.314,11
92,5,12,4,8.0,12,12.0,12,12,0.0,65,,,41.0,14.0,1:24.286,198.823,11
93,5,6,3,17.0,11,13.0,13,13,0.0,65,,,38.0,13.0,1:24.155,199.132,11
94,5,21,10,21.0,20,14.0,14,14,0.0,65,,,63.0,8.0,1:23.796,199.985,11
95,5,8,6,4.0,16,,R,15,0.0,17,,,16.0,15.0,1:24.490,198.342,9
96,5,5,1,2.0,18,,R,16,0.0,7,,,6.0,16.0,1:28.719,188.888,6
97,5,15,7,9.0,7,,R,17,0.0,0,,,,,,,4
98,5,67,5,12.0,15,,R,18,0.0,0,,,,,,,4
99,5,7,5,11.0,17,,R,19,0.0,0,,,,,,,4
100,5,16,10,20.0,19,,R,20,0.0,0,,,,,,,4
101,6,18,23,22.0,1,1.0,1,1,10.0,78,1:40:44.282,6044282.0,49.0,2.0,1:15.190,159.914,1
102,6,22,23,23.0,3,2.0,2,2,8.0,78,+7.666,6051948.0,46.0,7.0,1:15.685,158.868,1
103,6,8,6,4.0,2,3.0,3,3,6.0,78,+13.442,6057724.0,47.0,5.0,1:15.382,159.507,1
104,6,13,6,3.0,5,4.0,4,4,5.0,78,+15.110,6059392.0,50.0,1.0,1:15.154,159.991,1
105,6,17,9,14.0,8,5.0,5,5,4.0,78,+15.730,6060012.0,45.0,3.0,1:15.321,159.636,1
106,6,3,3,16.0,6,6.0,6,6,3.0,78,+33.586,6077868.0,48.0,9.0,1:15.772,158.686,1
107,6,4,4,7.0,9,7.0,7,7,2.0,78,+37.839,6082121.0,64.0,4.0,1:15.371,159.53,1
108,6,7,5,11.0,14,8.0,8,8,1.0,78,+1:03.142,6107424.0,47.0,13.0,1:16.178,157.84,1
109,6,21,10,21.0,13,9.0,9,9,0.0,78,+1:05.040,6109322.0,74.0,16.0,1:16.419,157.343,1
