position,number,fullName,constructorName,q1,Delta
1	6	Canada Jacques Villeneuve	Williams-Renault	1:38.909
2	5	United Kingdom Damon Hill	Williams-Renault	1:39.370	+0.461
3	1	Germany Michael Schumacher	Ferrari	1:40.071	+1.162
4	4	Austria Gerhard Berger	Benetton-Renault	1:40.364	+1.455
5	7	Finland Mika Häkkinen	McLaren-Mercedes	1:40.458	+1.549
6	2	United Kingdom Eddie Irvine	Ferrari	1:41.005	+2.096
7	15	Germany Heinz-Harald Frentzen	Sauber-Ford	1:41.277	+2.368
8	8	United Kingdom David Coulthard	McLaren-Mercedes	1:41.384	+2.475
9	3	France Jean Alesi	Benetton-Renault	1:41.562	+2.653
10	12	United Kingdom Martin Brundle	Jordan-Peugeot	1:41.600	+2.691
11	11	Brazil Rubens Barrichello	Jordan-Peugeot	1:41.919	+3.010
12	9	France Olivier Panis	Ligier-Mugen-Honda	1:42.206	+3.297
13	14	United Kingdom Johnny Herbert	Sauber-Ford	1:42.658	+3.749
14	18	Japan Ukyo Katayama	Tyrrell-Yamaha	1:42.711	+3.802
15	19	Finland Mika Salo	Tyrrell-Yamaha	1:42.840	+3.931
16	10	Brazil Pedro Diniz	Ligier-Mugen-Honda	1:43.196	+4.287
17	17	Netherlands Jos Verstappen	Footwork-Hart	1:43.383	+4.474
18	20	Portugal Pedro Lamy	Minardi-Ford	1:44.874	+5.965
19	16	Brazil Ricardo Rosset	Footwork-Hart	1:45.412	+6.503
20	21	Italy Giovanni Lavaggi	Minardi-Ford	1:46.795	+7.886
