Team|Component|Reason|Race|Year|Round
Red Bull|Floor Edge|Performance|Bahrain|2023|1
Red Bull|Front Wing|Performance|Bahrain|2023|1
Red Bull|Coke/Engine Cover|Reliability|Bahrain|2023|1
Ferrari|Front Suspension|Performance|Bahrain|2023|1
Ferrari|Front Wing|Performance|Bahrain|2023|1
Ferrari|Coke/Engine Cover|Performance|Bahrain|2023|1
Mercedes|Front Wing Endplate|Performance|Bahrain|2023|1
Mercedes|Rear Wing|Performance|Bahrain|2023|1
Mercedes|Nose|Performance|Bahrain|2023|1
Mercedes|Floor Edge|Performance|Bahrain|2023|1
Mercedes|Sidepod Inlet|Performance|Bahrain|2023|1
Mercedes|Front Suspension|Performance|Bahrain|2023|1
Alpine|Front Wing|Performance|Bahrain|2023|1
Alpine|Nose|Performance|Bahrain|2023|1
Alpine|Front Suspension|Performance|Bahrain|2023|1
Alpine|Front Corner|Performance|Bahrain|2023|1
Alpine|Floor Body|Performance|Bahrain|2023|1
Alpine|Coke/Engine Cover|Performance|Bahrain|2023|1
Alpine|Rear Suspension|Performance|Bahrain|2023|1
Alpine|Rear Corner|Performance|Bahrain|2023|1
Alpine|Beam Wing|Performance|Bahrain|2023|1
Alpine|Rear Wing|Performance|Bahrain|2023|1
McLaren|Front Wing|Performance|Bahrain|2023|1
McLaren|Floor Body|Performance|Bahrain|2023|1
McLaren|Front Corner|Circuit Specific|Bahrain|2023|1
McLaren|Sidepod Inlet|Performance|Bahrain|2023|1
McLaren|Coke/Engine Cover|Performance|Bahrain|2023|1
McLaren|Cooling Louvres|Performance|Bahrain|2023|1
McLaren|Beam Wing|Performance|Bahrain|2023|1
McLaren|Rear Corner|Circuit Specific|Bahrain|2023|1
Alfa Romeo|Front Suspension|Performance|Bahrain|2023|1
Alfa Romeo|Floor Body|Performance|Bahrain|2023|1
Alfa Romeo|Halo|Performance|Bahrain|2023|1
Alfa Romeo|Sidepod Inlet|Performance|Bahrain|2023|1
Alfa Romeo|Coke/Engine Cover|Performance|Bahrain|2023|1
Alfa Romeo|Rear Corner|Performance|Bahrain|2023|1
Alfa Romeo|Rear Suspension|Performance|Bahrain|2023|1
Alfa Romeo|Beam Wing|Performance|Bahrain|2023|1
Aston Martin|Nose|Performance|Bahrain|2023|1
Aston Martin|Front Wing|Performance|Bahrain|2023|1
Aston Martin|Front Wing Endplate|Performance|Bahrain|2023|1
Aston Martin|Front Suspension|Performance|Bahrain|2023|1
Aston Martin|Floor Fences|Performance|Bahrain|2023|1
Aston Martin|Floor Body|Performance|Bahrain|2023|1
Aston Martin|Floor Edge|Performance|Bahrain|2023|1
Aston Martin|Diffuser|Performance|Bahrain|2023|1
Aston Martin|Sidepod Inlet|Performance|Bahrain|2023|1
Aston Martin|Coke/Engine Cover|Performance|Bahrain|2023|1
Aston Martin|Cooling Louvres|Circuit Specific|Bahrain|2023|1
Aston Martin|Rear Suspension|Performance|Bahrain|2023|1
Aston Martin|Rear Corner|Performance|Bahrain|2023|1
Aston Martin|Beam Wing|Performance|Bahrain|2023|1
Aston Martin|Rear Wing|Performance|Bahrain|2023|1
Aston Martin|Rear Wing Endplate|Performance|Bahrain|2023|1
Haas|Nose|Performance|Bahrain|2023|1
Haas|Front Wing|Performance|Bahrain|2023|1
Haas|Front Wing Endplate|Performance|Bahrain|2023|1
Haas|Front Suspension|Performance|Bahrain|2023|1
Haas|Floor Fences|Performance|Bahrain|2023|1
Haas|Floor Body|Performance|Bahrain|2023|1
Haas|Front Corner|Circuit Specific|Bahrain|2023|1
Haas|Cooling Louvres|Circuit Specific|Bahrain|2023|1
Haas|Diffuser|Performance|Bahrain|2023|1
Haas|Rear Suspension|Performance|Bahrain|2023|1
AlphaTauri|Nose|Performance|Bahrain|2023|1
AlphaTauri|Front Wing|Performance|Bahrain|2023|1
AlphaTauri|Front Suspension|Performance|Bahrain|2023|1
AlphaTauri|Front Corner|Performance|Bahrain|2023|1
AlphaTauri|Floor Body|Performance|Bahrain|2023|1
AlphaTauri|Floor Edge|Performance|Bahrain|2023|1
AlphaTauri|Diffuser|Performance|Bahrain|2023|1
AlphaTauri|Sidepod Inlet|Performance|Bahrain|2023|1
AlphaTauri|Coke/Engine Cover|Performance|Bahrain|2023|1
AlphaTauri|Cooling Louvres|Performance|Bahrain|2023|1
AlphaTauri|Rear Wing Endplate|Performance|Bahrain|2023|1
Williams|Nose|Performance|Bahrain|2023|1
Williams|Front Wing|Performance|Bahrain|2023|1
Williams|Front Wing|Performance|Bahrain|2023|1
Williams|Front Suspension|Performance|Bahrain|2023|1
Williams|Front Corner|Performance|Bahrain|2023|1
Williams|Coke/Engine Cover|Performance|Bahrain|2023|1
Williams|Rear Wing|Performance|Bahrain|2023|1
Williams|Beam Wing|Performance|Bahrain|2023|1
Williams|Halo|Performance|Bahrain|2023|1
Williams|Floor Fences|Performance|Bahrain|2023|1
Williams|Rear Suspension|Performance|Bahrain|2023|1
Williams|Rear Corner|Performance|Bahrain|2023|1
Williams|Front Suspension|Performance|Bahrain|2023|1
Williams|Floor Edge|Performance|Bahrain|2023|1
Williams|Diffuser|Performance|Bahrain|2023|1
